ime,ocena,naslov
Bissell Brothers The Substance Ale,3.2,/beer/bissell-brothers-the-substance-ale/250331/104307/
Modern Times Fruitlands - Passion Fruit & Guava,3.4,/beer/modern-times-fruitlands--passion-fruit-guava/374545/51030/
Driftwood Fat Tug IPA,3.6,/beer/driftwood-fat-tug-ipa/133091/331396/
The Bruery Melange #14,4.2,/beer/the-bruery-melange-14/425053/7034/
Trillium Mettle,3.6,/beer/trillium-mettle/256288/104307/
Siren Vermont Tea Party,3.3,/beer/siren-vermont-tea-party/407686/102374/
Central Waters Brewer\xc2\x92s Reserve Bourbon Barrel Scotch Ale,4.0,/beer/central-waters-brewers-reserve-bourbon-barrel-scotch-ale/63097/99747/
Baladin Xyauy\xc3\xb9 Fum\xc3\xa9 &#40;Islay Whisky&#41;,4.5,/beer/baladin-xyauyu-fume-islay-whisky/188066/354804/
Epic / DC Brau Fermentation Without Representation,3.6,/beer/epic--dc-brau-fermentation-without-representation/158067/68931/
La Cumbre Full Nelson,4.2,/beer/la-cumbre-full-nelson/197191/221467/
Westbrook Key Lime Pie Gose,3.7,/beer/westbrook-key-lime-pie-gose/415994/173938/
Alchemist Heady Topper,3.6,/beer/alchemist-heady-topper/32329/8508/
Firestone Walker Stickee Monkee,4.2,/beer/firestone-walker-stickee-monkee/133381/231336/
Millstone Cellars Hopvine,3.8,/beer/millstone-cellars-hopvine/240264/104498/
Westbrook Key Lime Pie Gose,3.5,/beer/westbrook-key-lime-pie-gose/415994/313800/
Founders Imperial Stout,3.4,/beer/founders-imperial-stout/5933/418698/
Superstition Straw Berry White,4.5,/beer/superstition-straw-berry-white/335470/173938/
Superstition Straw Berry White,4.6,/beer/superstition-straw-berry-white/335470/105312/
Superstition Straw Berry White,4.8,/beer/superstition-straw-berry-white/335470/313800/
Pipeworks The Lizard King,4.2,/beer/pipeworks-the-lizard-king/312611/415782/
Millstone Cellars Hopvine,3.9,/beer/millstone-cellars-hopvine/240264/104537/
De Dolle Oerbier,3.8,/beer/de-dolle-oerbier/6860/429463/
Weihenstephaner Hefeweissbier Dunkel,3.7,/beer/weihenstephaner-hefeweissbier-dunkel/4583/404415/
Millstone Cellars Hopvine,3.9,/beer/millstone-cellars-hopvine/240264/126758/
Oskar Blues Hotbox Coffee Porter,3.5,/beer/oskar-blues-hotbox-coffee-porter/132098/99747/
Millstone Cellars Hopvine,3.5,/beer/millstone-cellars-hopvine/240264/229832/
Three Floyds Wigsplitter,3.4,/beer/three-floyds-wigsplitter/342218/104498/
Lost Abbey The Angels Share,4.1,/beer/lost-abbey-the-angels-share/64975/288109/
Surly Blakkr,4.0,/beer/surly-blakkr/252611/95204/
Millstone Cellars Hopvine,4.0,/beer/millstone-cellars-hopvine/240264/339387/
Marz Jungle Boogie,3.9,/beer/marz-jungle-boogie/303531/151324/
Ayinger Oktober Fest-M\xc3\xa4rzen,4.0,/beer/ayinger-oktober-fest-marzen/2718/404415/
Boombox / Machine Pablo Esco Gnar,3.9,/beer/boombox--machine-pablo-esco-gnar/454620/104537/
Founders PC Pils,3.9,/beer/founders-pc-pils/382690/151324/
Ballast Point Dead Ringer Oktoberfest,2.8,/beer/ballast-point-dead-ringer-oktoberfest/278843/377571/
Aecht Schlenkerla Rauchbier Urbock,4.2,/beer/aecht-schlenkerla-rauchbier-urbock/6349/323321/
Deschutes Big Rig Bitter,4.5,/beer/deschutes-big-rig-bitter/101691/312563/
Boombox / Machine Pablo Esco Gnar,4.3,/beer/boombox--machine-pablo-esco-gnar/454620/104498/
Boombox / Machine Pablo Esco Gnar,4.1,/beer/boombox--machine-pablo-esco-gnar/454620/339387/
Three Floyds Wigsplitter,3.4,/beer/three-floyds-wigsplitter/342218/126758/
Evil Twin Imperial Biscotti Break,3.9,/beer/evil-twin-imperial-biscotti-break/168309/56358/
Three Floyds Wigsplitter,3.2,/beer/three-floyds-wigsplitter/342218/104537/
Three Floyds Wigsplitter,3.5,/beer/three-floyds-wigsplitter/342218/229832/
Three Floyds Wigsplitter,3.8,/beer/three-floyds-wigsplitter/342218/339387/
Boombox / Machine Pablo Esco Gnar,4.2,/beer/boombox--machine-pablo-esco-gnar/454620/126758/
Fremont Brew 1000,3.7,/beer/fremont-brew-1000/270858/104537/
Lagunitas Born Yesterday Pale Ale,4.4,/beer/lagunitas-born-yesterday-pale-ale/295821/251896/
Boombox / Machine Pablo Esco Gnar,4.2,/beer/boombox--machine-pablo-esco-gnar/454620/229832/
Fremont Brew 1000,4.3,/beer/fremont-brew-1000/270858/104498/
Fremont Brew 1000,4.3,/beer/fremont-brew-1000/270858/339387/
Peak Organic The Juice,3.9,/beer/peak-organic-the-juice/439492/69957/
Knee Deep Breaking Bud IPA,3.1,/beer/knee-deep-breaking-bud-ipa/308727/55364/
Fremont Brew 1000,3.7,/beer/fremont-brew-1000/270858/126758/
Fremont Brew 1000,4.2,/beer/fremont-brew-1000/270858/229832/
Great Divide Yeti Imperial Stout,4.3,/beer/great-divide-yeti-imperial-stout/25082/298979/
Heavy Seas Uncharted Waters: The Great\xc2\x92ER Pumpkin,3.8,/beer/heavy-seas-uncharted-waters-the-greater-pumpkin/114628/193614/
Fuller\xc2\x92s 1845,3.9,/beer/fullers-1845/294/398597/
Fuller\xc2\x92s ESB &#40;Bottle/Keg&#41;,4.7,/beer/fullers-esb-bottle-keg/290/367394/
Oskar Blues Hotbox Coffee Porter,3.7,/beer/oskar-blues-hotbox-coffee-porter/132098/50835/
Avery Rumpkin,3.7,/beer/avery-rumpkin/131832/289555/
Trillium Sleeper Street IPA - Double Dry Hopped,3.9,/beer/trillium-sleeper-street-ipa--double-dry-hopped/314822/51030/
Dieu du Ciel Solstice d\xc2\x92\xc3\x89t\xc3\xa9 aux Framboises,3.9,/beer/dieu-du-ciel-solstice-dete-aux-framboises/8116/60294/
Les Trois Mousquetaires G.C. Porter Baltique &#40;Bourbon & Brandy&#41;,3.7,/beer/les-trois-mousquetaires-gc-porter-baltique-bourbon-brandy/230352/80551/
Cycle Barrel-Aged Hazelnut Imperial Stout,3.4,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/104498/
Southern Tier Rum Barrel Aged Pumking,3.9,/beer/southern-tier-rum-barrel-aged-pumking/300262/45064/
Cycle Barrel-Aged Hazelnut Imperial Stout,4.4,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/104537/
Cycle Barrel-Aged Hazelnut Imperial Stout,3.7,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/126758/
Cycle Barrel-Aged Hazelnut Imperial Stout,4.4,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/339387/
Cycle Barrel-Aged Hazelnut Imperial Stout,4.2,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/79809/
Cycle Barrel-Aged Hazelnut Imperial Stout,4.4,/beer/cycle-barrel-aged-hazelnut-imperial-stout/376070/229832/
Tired Hands Okt\xc3\xbcberfest,3.7,/beer/tired-hands-oktuberfest/186253/27740/
Stillwater Gose Gone Wild,4.0,/beer/stillwater-gose-gone-wild/266266/5855/
Buxton Jacob\xc2\x92s Ladder,3.6,/beer/buxton-jacobs-ladder/221709/235647/
Lagunitas Born Yesterday Pale Ale,4.3,/beer/lagunitas-born-yesterday-pale-ale/295821/252091/
Trillium Itty Bitty Goose,3.7,/beer/trillium-itty-bitty-goose/275435/51030/
Uerige Doppel Sticke,4.0,/beer/uerige-doppel-sticke/46158/333213/
Surly Blakkr,3.8,/beer/surly-blakkr/252611/271772/
Trillium Mettle,3.9,/beer/trillium-mettle/256288/51030/
Chimay Bleue &#40;Blue&#41; / Grande R\xc3\xa9serve,3.5,/beer/chimay-bleue-blue--grande-reserve/53/400129/
Aecht Schlenkerla Rauchbier Urbock,4.4,/beer/aecht-schlenkerla-rauchbier-urbock/6349/362848/
Funky Buddha Wide Awake It\xc2\x92s Morning,4.0,/beer/funky-buddha-wide-awake-its-morning/148014/126758/
Funky Buddha Wide Awake It\xc2\x92s Morning,3.7,/beer/funky-buddha-wide-awake-its-morning/148014/104498/
Four Winds Nectarous,4.0,/beer/four-winds-nectarous/254840/5855/
Jolly Pumpkin Bi\xc3\xa8re de Mars,2.5,/beer/jolly-pumpkin-biere-de-mars/47030/51287/
Funky Buddha Wide Awake It\xc2\x92s Morning,4.2,/beer/funky-buddha-wide-awake-its-morning/148014/104537/
Funky Buddha Wide Awake It\xc2\x92s Morning,4.0,/beer/funky-buddha-wide-awake-its-morning/148014/229832/
Funky Buddha Wide Awake It\xc2\x92s Morning,4.2,/beer/funky-buddha-wide-awake-its-morning/148014/339387/
Jolly Pumpkin Bi\xc3\xa8re de Mars,2.7,/beer/jolly-pumpkin-biere-de-mars/47030/136546/
Boulevard Smokestack Series: Saison-Brett,4.0,/beer/boulevard-smokestack-series-saison-brett/61449/105312/
Boulevard Smokestack Series: Saison-Brett,3.9,/beer/boulevard-smokestack-series-saison-brett/61449/173938/
Jolly Pumpkin Bi\xc3\xa8re de Mars,3.5,/beer/jolly-pumpkin-biere-de-mars/47030/286327/
Boulevard Smokestack Series: Saison-Brett,4.0,/beer/boulevard-smokestack-series-saison-brett/61449/313800/
Goose Island Bourbon County Stout,4.5,/beer/goose-island-bourbon-county-stout/8909/220461/
Schneider Weisse Tap 5 Meine Hopfen-Weisse,3.3,/beer/schneider-weisse-tap-5-meine-hopfen-weisse/75466/9747/
Trillium Scaled Up,4.0,/beer/trillium-scaled-up/382827/104537/
Beavertown Gamma Ray  ,3.5,/beer/beavertown-gamma-ray/189363/100801/
Trillium Scaled Up,4.3,/beer/trillium-scaled-up/382827/104498/
Trillium Scaled Up,4.2,/beer/trillium-scaled-up/382827/126758/
Moor So\xc2\x92Hop,3.7,/beer/moor-sohop/164416/281573/
Trillium Scaled Up,4.3,/beer/trillium-scaled-up/382827/339387/
York Centurion\xc2\x92s Ghost Ale &#40;Cask&#41;,3.5,/beer/york-centurions-ghost-ale-cask/45131/263589/
Trillium Scaled Up,4.2,/beer/trillium-scaled-up/382827/229832/
Stone IPA &#40;India Pale Ale&#41;,2.9,/beer/stone-ipa-india-pale-ale/422/403827/
Ayinger Celebrator Doppelbock,4.3,/beer/ayinger-celebrator-doppelbock/1090/247248/
Stone Imperial Russian Stout,5.0,/beer/stone-imperial-russian-stout/4315/424105/
Aecht Schlenkerla Helles Lagerbier,3.4,/beer/aecht-schlenkerla-helles-lagerbier/16402/133537/
Uerige Doppel Sticke,4.0,/beer/uerige-doppel-sticke/46158/322960/
Lagunitas Born Yesterday Pale Ale,4.2,/beer/lagunitas-born-yesterday-pale-ale/295821/13412/
Franziskaner Hefe-Weissbier / Weissbier Naturtrub,3.2,/beer/franziskaner-hefe-weissbier--weissbier-naturtrub/1088/83890/
Bissell Brothers Swish,4.0,/beer/bissell-brothers-swish/298864/107313/
Schramm\xc2\x92s Red Agnes,4.1,/beer/schramms-red-agnes/407785/128270/
Stone Imperial Russian Stout,4.0,/beer/stone-imperial-russian-stout/4315/285335/
The Bruery Melange #14,3.6,/beer/the-bruery-melange-14/425053/35022/
Hill Farmstead Sumner,3.9,/beer/hill-farmstead-sumner/409339/104537/
Hill Farmstead Sumner,3.9,/beer/hill-farmstead-sumner/409339/229832/
Siren / Cigar City Caribbean Chocolate Cake &#40;Barrel Aged&#41;,4.2,/beer/siren--cigar-city-caribbean-chocolate-cake-barrel-aged/419051/245444/
Bell\xc2\x92s Roundhouse IRA,3.5,/beer/bells-roundhouse-ira/99505/124170/
AleSmith Speedway Stout,5.0,/beer/alesmith-speedway-stout/14232/424105/
AleSmith Evil Dead Red,4.1,/beer/alesmith-evil-dead-red/2496/424105/
Ayinger Altbairisch Dunkel,3.5,/beer/ayinger-altbairisch-dunkel/2019/112615/
Trillium Itty Bitty Goose,3.6,/beer/trillium-itty-bitty-goose/275435/126758/
Trillium Itty Bitty Goose,3.6,/beer/trillium-itty-bitty-goose/275435/104498/
Trillium Itty Bitty Goose,3.5,/beer/trillium-itty-bitty-goose/275435/104537/
Trillium Itty Bitty Goose,3.6,/beer/trillium-itty-bitty-goose/275435/229832/
Auval C-12 Pivo,4.1,/beer/auval-c-12-pivo/433244/6938/
Trillium Itty Bitty Goose,3.6,/beer/trillium-itty-bitty-goose/275435/339387/
Auval Super A Double IPA,4.5,/beer/auval-super-a-double-ipa/384097/6938/
Trillium Itty Bitty Goose,3.6,/beer/trillium-itty-bitty-goose/275435/79809/
Siren / Cigar City Caribbean Chocolate Cake &#40;Barrel Aged&#41;,3.9,/beer/siren--cigar-city-caribbean-chocolate-cake-barrel-aged/419051/19032/
Bell\xc2\x92s Expedition Stout,4.3,/beer/bells-expedition-stout/3214/246410/
Sierra Nevada Hoptimum,3.7,/beer/sierra-nevada-hoptimum/117825/227834/
Bell\xc2\x92s Expedition Stout,4.3,/beer/bells-expedition-stout/3214/223863/
Anchorage Galaxy White IPA,3.4,/beer/anchorage-galaxy-white-ipa/161579/68142/
Paulaner Hefe-Weissbier &#40;Hefe-Weizen&#41; &#40;5.5%&#41;,4.1,/beer/paulaner-hefe-weissbier-hefe-weizen-55/647/428988/
Uerige Doppel Sticke,4.0,/beer/uerige-doppel-sticke/46158/247116/
Dieu du Ciel L\xc2\x92Herbe \xc3\xa0 D\xc3\xa9tourne,4.3,/beer/dieu-du-ciel-lherbe-a-detourne/123975/371540/
The Bruery / Maine Beer Fourthmeal,3.7,/beer/the-bruery--maine-beer-fourthmeal/377250/59428/
Aecht Schlenkerla Helles Lagerbier,3.4,/beer/aecht-schlenkerla-helles-lagerbier/16402/206956/
Avery Pump[KY]n,4.0,/beer/avery-pumpkyn/287723/128270/
Anchor Winter Wheat,3.3,/beer/anchor-winter-wheat/295879/79214/
Pilsner Urquell Nefiltrovan\xc3\xbd,3.8,/beer/pilsner-urquell-nefiltrovany/44956/41169/
Founders Sumatra Mountain Brown,3.9,/beer/founders-sumatra-mountain-brown/135773/219974/
Evil Twin Bikini Beer,3.0,/beer/evil-twin-bikini-beer/149843/424398/
Capital Oktoberfest,3.5,/beer/capital-oktoberfest/860/104241/
Smuttynose Baltic Porter,3.7,/beer/smuttynose-baltic-porter/83476/219974/
Aecht Schlenkerla Helles Lagerbier,3.5,/beer/aecht-schlenkerla-helles-lagerbier/16402/233022/
Payette North Fork Lager,3.3,/beer/payette-north-fork-lager/183839/59428/
Weihenstephaner Kristallweissbier,3.8,/beer/weihenstephaner-kristallweissbier/4584/391695/
Victory Old Horizontal,3.1,/beer/victory-old-horizontal/624/106559/
AleSmith Double IPA,4.0,/beer/alesmith-double-ipa/2497/286908/
Superstition Endovelicus,4.6,/beer/superstition-endovelicus/335468/105312/
Beavertown Black Betty,3.7,/beer/beavertown-black-betty/191161/79214/
Lagunitas Born Yesterday Pale Ale,3.7,/beer/lagunitas-born-yesterday-pale-ale/295821/210140/
Arrogant Bastard Ale,4.1,/beer/arrogant-bastard-ale/1315/13895/
Roslyn Brookside Pale Lager,3.0,/beer/roslyn-brookside-pale-lager/12307/79214/
Ballast Point Grunion Pale Ale,3.8,/beer/ballast-point-grunion-pale-ale/223253/117914/
Uinta Crooked Line Oak Jacked Imperial Pumpkin,3.4,/beer/uinta-crooked-line-oak-jacked-imperial-pumpkin/146213/79214/
Driftwood Fat Tug IPA,3.4,/beer/driftwood-fat-tug-ipa/133091/79214/
Oskar Blues Ten FIDY,3.9,/beer/oskar-blues-ten-fidy/68107/44621/
Trillium Congress Street IPA,4.5,/beer/trillium-congress-street-ipa/232181/177074/
Trillium Scaled,4.3,/beer/trillium-scaled/377675/177074/
Trillium Mettle,3.8,/beer/trillium-mettle/256288/177074/
Pipeworks Ninja Vs Unicorn Double IPA,3.5,/beer/pipeworks-ninja-vs-unicorn-double-ipa/165816/177074/
Hill Farmstead Susan,3.7,/beer/hill-farmstead-susan/191994/138565/
Weird Beard Dark Hopfler,2.6,/beer/weird-beard-dark-hopfler/257261/42530/
Rogue Dead Guy Ale,3.4,/beer/rogue-dead-guy-ale/589/32215/
Founders Centennial IPA,3.4,/beer/founders-centennial-ipa/3168/140883/
Jolly Pumpkin Bi\xc3\xa8re de Mars,3.9,/beer/jolly-pumpkin-biere-de-mars/47030/274310/
Schneider Weisse Aventinus,3.7,/beer/schneider-weisse-aventinus/2224/385469/
Founders Imperial Stout,4.3,/beer/founders-imperial-stout/5933/429670/
Stone Bastard\xc2\x92s Midnight Brunch,3.9,/beer/stone-bastards-midnight-brunch/414489/327245/
Crooked Stave Table Beer,3.8,/beer/crooked-stave-table-beer/302799/79214/
Uinta Fest Helles,3.7,/beer/uinta-fest-helles/432004/58936/
Stone IPA &#40;India Pale Ale&#41;,4.0,/beer/stone-ipa-india-pale-ale/422/420774/
Superstition Aphrodisia Pyment - Cabernet/Syrah,4.4,/beer/superstition-aphrodisia-pyment--cabernet-syrah/260182/4953/
Elysian Punkuccino Coffee Pumpkin Ale,3.9,/beer/elysian-punkuccino-coffee-pumpkin-ale/232495/22611/
Charlevoix Vache Folle ESB,2.9,/beer/charlevoix-vache-folle-esb/33047/229832/
Jack\xc2\x92s Abby Excess IPL,4.2,/beer/jacks-abby-excess-ipl/329280/167559/
Tree House Sap &#40;December 2015 - &#41;,2.7,/beer/tree-house-sap-december-2015--/385871/294791/
Driftwood Raised by Wolves IPA,4.0,/beer/driftwood-raised-by-wolves-ipa/353995/348726/
J.K.\xc2\x92s Cuv\xc3\xa9e Winterruption Farmhouse Hard Cider,3.8,/beer/jks-cuvee-winterruption-farmhouse-hard-cider/113726/9776/
Unibroue La Fin du Monde,3.9,/beer/unibroue-la-fin-du-monde/1094/420760/
Fat Head\xc2\x92s IBUsive IPA,4.0,/beer/fat-heads-ibusive-ipa/201827/96987/
Lagunitas Born Again Yesterday ,4.0,/beer/lagunitas-born-again-yesterday/425060/211077/
Prairie Apple Brandy Barrel Noir,3.8,/beer/prairie-apple-brandy-barrel-noir/311784/97698/
Ballast Point Grapefruit Sculpin,4.2,/beer/ballast-point-grapefruit-sculpin/213365/22435/
New Glarus Raspberry Tart,4.2,/beer/new-glarus-raspberry-tart/7686/379598/
Cambridge Morning Dew,3.8,/beer/cambridge-morning-dew/283510/221467/
Lawson\xc2\x92s Finest Chinookerd IPA,4.0,/beer/lawsons-finest-chinookerd-ipa/92737/58060/
Surly SurlyFest,3.4,/beer/surly-surlyfest/64349/379598/
Rodenbach Alexander,3.5,/beer/rodenbach-alexander/1195/247503/
Ayinger Oktober Fest-M\xc3\xa4rzen,3.4,/beer/ayinger-oktober-fest-marzen/2718/314229/
Stone 20th Anniversary Encore Series: 02.02.02 Vertical Epic Ale,4.0,/beer/stone-20th-anniversary-encore-series-020202-vertical-epic-ale/12115/131116/
Firestone Walker Parabola,4.4,/beer/firestone-walker-parabola/60246/110664/
Trillium / Amager Sigtebrod,4.0,/beer/trillium--amager-sigtebrod/454740/170314/
Founders PC Pils,2.6,/beer/founders-pc-pils/382690/10619/
Trillium Scaled Up,4.1,/beer/trillium-scaled-up/382827/87951/
Trillium Itty Bitty Goose,4.0,/beer/trillium-itty-bitty-goose/275435/170314/
Modern Times City of the Dead,3.1,/beer/modern-times-city-of-the-dead/312152/137198/
Oskar Blues / Shamrock Death By Coconut,3.5,/beer/oskar-blues--shamrock-death-by-coconut/261714/110664/
Fat Head\xc2\x92s IBUsive IPA,3.8,/beer/fat-heads-ibusive-ipa/201827/11116/
Trillium Vicinity,3.7,/beer/trillium-vicinity/311024/87951/
Oskar Blues Hotbox Coffee Porter,3.7,/beer/oskar-blues-hotbox-coffee-porter/132098/162904/
Lagunitas Born Yesterday Pale Ale,3.7,/beer/lagunitas-born-yesterday-pale-ale/295821/213063/
Driftwood Fat Tug IPA,4.0,/beer/driftwood-fat-tug-ipa/133091/9801/
Hill Farmstead Susan,4.1,/beer/hill-farmstead-susan/191994/314524/
Cigar City Maduro Brown Ale - Vanilla,3.8,/beer/cigar-city-maduro-brown-ale--vanilla/104134/12252/
Arrogant Bastard Ale,3.8,/beer/arrogant-bastard-ale/1315/146047/
Founders Harvest Ale,3.2,/beer/founders-harvest-ale/40277/96390/
Modern Times City of the Dead,3.8,/beer/modern-times-city-of-the-dead/312152/236434/
Fuller\xc2\x92s London Porter &#40;Bottle/Keg&#41;,3.9,/beer/fullers-london-porter-bottle-keg/303/56358/
Uinta Fest Helles,3.6,/beer/uinta-fest-helles/432004/26853/
AleSmith Double IPA,4.0,/beer/alesmith-double-ipa/2497/251634/
Lawson\xc2\x92s Finest Super Session IPA #2,3.7,/beer/lawsons-finest-super-session-ipa-2/274596/57058/
Southern Tier Rum Barrel Aged Pumking,4.0,/beer/southern-tier-rum-barrel-aged-pumking/300262/67955/
Bell\xc2\x92s Roundhouse IRA,3.7,/beer/bells-roundhouse-ira/99505/212271/
Victory HopDevil,4.8,/beer/victory-hopdevil/618/431121/
New Belgium 1554 Enlightened Black Lager,3.2,/beer/new-belgium-1554-enlightened-black-lager/1266/377571/
Bell\xc2\x92s Roundhouse IRA,3.4,/beer/bells-roundhouse-ira/99505/149446/
Tr\xc3\xb6egs HopBack Amber Ale,5.0,/beer/troegs-hopback-amber-ale/17495/431121/
Trillium Stillings Street IPA,4.1,/beer/trillium-stillings-street-ipa/444497/72187/
Rogue HazelNut Brown Nectar,3.9,/beer/rogue-hazelnut-brown-nectar/585/413787/
Stone 20th Anniversary Encore Series: 02.02.02 Vertical Epic Ale,3.7,/beer/stone-20th-anniversary-encore-series-020202-vertical-epic-ale/12115/233969/
Bear Republic Racer 5 IPA,3.9,/beer/bear-republic-racer-5-ipa/1608/273837/
Chimay Bleue &#40;Blue&#41; / Grande R\xc3\xa9serve,5.0,/beer/chimay-bleue-blue--grande-reserve/53/430376/
Lagunitas Born Yesterday Pale Ale,4.5,/beer/lagunitas-born-yesterday-pale-ale/295821/26399/
Central Waters Headless Heron,4.4,/beer/central-waters-headless-heron/291246/78440/
Ballast Point Dead Ringer Oktoberfest,3.5,/beer/ballast-point-dead-ringer-oktoberfest/278843/70460/
Sierra Nevada / Mahrs Br\xc3\xa4u Oktoberfest &#40;2016&#41;,3.0,/beer/sierra-nevada--mahrs-brau-oktoberfest-2016/439036/365505/
AleSmith Evil Dead Red,3.6,/beer/alesmith-evil-dead-red/2496/96358/
Dieu du Ciel Solstice d\xc2\x92Hiver R\xc3\xa9serve Sp\xc3\xa9ciale &#40;Oak Aged - Bourbon&#41;,3.8,/beer/dieu-du-ciel-solstice-dhiver-reserve-speciale-oak-aged--bourbon/117462/139704/
Aecht Schlenkerla Rauchbier Urbock,3.8,/beer/aecht-schlenkerla-rauchbier-urbock/6349/394218/
Central Waters Brewer\xc2\x92s Reserve Bourbon Barrel Scotch Ale,4.2,/beer/central-waters-brewers-reserve-bourbon-barrel-scotch-ale/63097/216134/
Melvin Hubert MPA,3.3,/beer/melvin-hubert-mpa/291975/108216/
Night Shift Awake,3.8,/beer/night-shift-awake/361859/231336/
Founders Backwoods Bastard,4.7,/beer/founders-backwoods-bastard/69624/415813/
Oskar Blues Hotbox Coffee Porter,4.1,/beer/oskar-blues-hotbox-coffee-porter/132098/82398/
Lagunitas Sonoma Farmhouse Hop Stoopid,4.1,/beer/lagunitas-sonoma-farmhouse-hop-stoopid/69933/426815/
Cigar City Good Gourd Almighty - Bourbon Barrel,4.0,/beer/cigar-city-good-gourd-almighty--bourbon-barrel/405033/133655/
Mashsee Beverly Pils,3.9,/beer/mashsee-beverly-pils/417973/427758/
Allagash Little Brett,3.7,/beer/allagash-little-brett/385843/251634/
Gulden Draak,3.7,/beer/gulden-draak/3958/19324/
Wicked Weed Medora Blackberry Raspberry Sour,4.1,/beer/wicked-weed-medora-blackberry-raspberry-sour/264920/151324/
Great Divide Yeti Imperial Stout,4.2,/beer/great-divide-yeti-imperial-stout/25082/88166/
Sierra Nevada Harvest Wet Hop IPA - Northern Hemisphere,3.9,/beer/sierra-nevada-harvest-wet-hop-ipa--northern-hemisphere/131958/88166/
Stone IPA &#40;India Pale Ale&#41;,3.8,/beer/stone-ipa-india-pale-ale/422/421727/
Chimay &#40;Red / Rouge / Ale / Premi\xc3\xa8re&#41;,3.0,/beer/chimay-red--rouge--ale--premiere/51/272415/
Superstition Endovelicus,4.6,/beer/superstition-endovelicus/335468/173938/
Superstition Endovelicus,4.7,/beer/superstition-endovelicus/335468/313800/
Superstition Endovelicus,4.5,/beer/superstition-endovelicus/335468/109918/
Founders PC Pils,3.8,/beer/founders-pc-pils/382690/88036/
Superstition Endovelicus,4.7,/beer/superstition-endovelicus/335468/285421/
Ballast Point Sculpin IPA,3.9,/beer/ballast-point-sculpin-ipa/50008/377571/
Beavertown Gamma Ray  ,3.7,/beer/beavertown-gamma-ray/189363/255258/
Oskar Blues / Shamrock Death By Coconut,3.8,/beer/oskar-blues--shamrock-death-by-coconut/261714/61944/
Schramm\xc2\x92s Black Agnes,4.4,/beer/schramms-black-agnes/254745/112983/
Hill Farmstead Everett - Bourbon Barrel Aged &#40;2011&#41;,4.4,/beer/hill-farmstead-everett--bourbon-barrel-aged-2011/135762/17095/
Modern Times City of the Dead,3.8,/beer/modern-times-city-of-the-dead/312152/300892/
Dieu du Ciel R\xc3\xa9surrection,3.3,/beer/dieu-du-ciel-resurrection/8111/80551/
Wiseacre Tiny Bomb American Pilsner,3.0,/beer/wiseacre-tiny-bomb-american-pilsner/227864/6322/
Casey The Cut: Balaton Cherry,4.1,/beer/casey-the-cut-balaton-cherry/330654/105312/
Casey The Cut: Balaton Cherry,4.0,/beer/casey-the-cut-balaton-cherry/330654/109918/
Casey The Cut: Balaton Cherry,3.9,/beer/casey-the-cut-balaton-cherry/330654/132360/
Oskar Blues Hotbox Coffee Porter,3.6,/beer/oskar-blues-hotbox-coffee-porter/132098/61944/
Casey The Cut: Balaton Cherry,3.9,/beer/casey-the-cut-balaton-cherry/330654/313800/
Casey The Cut: Balaton Cherry,4.1,/beer/casey-the-cut-balaton-cherry/330654/173938/
Pilsner Urquell Nefiltrovan\xc3\xbd,3.6,/beer/pilsner-urquell-nefiltrovany/44956/271889/
Casey The Cut: Balaton Cherry,4.1,/beer/casey-the-cut-balaton-cherry/330654/285421/
Dieu du Ciel Solstice d\xc2\x92\xc3\x89t\xc3\xa9 aux Framboises,3.4,/beer/dieu-du-ciel-solstice-dete-aux-framboises/8116/122088/
Tired Hands Alien Church,3.5,/beer/tired-hands-alien-church/251307/7542/
Fat Head\xc2\x92s Hop Stalker Fresh Hop IPA,3.9,/beer/fat-heads-hop-stalker-fresh-hop-ipa/293365/58936/
Westbrook Key Lime Pie Gose,3.3,/beer/westbrook-key-lime-pie-gose/415994/314904/
Tree House Ma,2.4,/beer/tree-house-ma/207501/294791/
Stone RuinTen Triple IPA,3.8,/beer/stone-ruinten-triple-ipa/171722/223863/
Bell\xc2\x92s Kalamazoo Stout,3.7,/beer/bells-kalamazoo-stout/3209/102838/
Cigar City Puppy\xc2\x92s Breath Robust Porter,3.9,/beer/cigar-city-puppys-breath-robust-porter/128242/267220/
Schneider Aventinus Weizen-Eisbock,3.9,/beer/schneider-aventinus-weizen-eisbock/10514/381995/
Chimay Bleue &#40;Blue&#41; / Grande R\xc3\xa9serve,4.0,/beer/chimay-bleue-blue--grande-reserve/53/421236/
Alchemist Focal Banger,4.3,/beer/alchemist-focal-banger/100846/112983/
Cycle / 3 Sons Rare Scooop,4.5,/beer/cycle--3-sons-rare-scooop/420014/132360/
Cycle / 3 Sons Rare Scooop,4.6,/beer/cycle--3-sons-rare-scooop/420014/105312/
Cycle / 3 Sons Rare Scooop,4.6,/beer/cycle--3-sons-rare-scooop/420014/109918/
Cycle / 3 Sons Rare Scooop,4.7,/beer/cycle--3-sons-rare-scooop/420014/313800/
Tr\xc3\xb6egs HopBack Amber Ale,2.8,/beer/troegs-hopback-amber-ale/17495/121719/
