ime,ocena,naslov
Tired Hands Shambolic,3.9,/beer/tired-hands-shambolic/252225/85479/
Trillium Scaled Up,4.1,/beer/trillium-scaled-up/382827/188026/
Sierra Nevada Vienna Lager,3.3,/beer/sierra-nevada-vienna-lager/58996/344778/
Sierra Nevada / Mahrs Br\xc3\xa4u Oktoberfest &#40;2016&#41;,2.8,/beer/sierra-nevada--mahrs-brau-oktoberfest-2016/439036/47265/
Maui Brewing Coconut Hiwa Porter,3.5,/beer/maui-brewing-coconut-hiwa-porter/59330/44939/
Lakefront Imperial Pumpkin &#40;2014-&#41;,3.9,/beer/lakefront-imperial-pumpkin-2014-/286917/319149/
Prairie Coffee Okie,4.1,/beer/prairie-coffee-okie/382217/49098/
Lagunitas Born Yesterday Pale Ale,4.0,/beer/lagunitas-born-yesterday-pale-ale/295821/87404/
Great Divide Yeti Imperial Stout - Oak Aged ,4.2,/beer/great-divide-yeti-imperial-stout--oak-aged/37652/359112/
Cigar City Hunahpu\xc2\x92s Imperial Stout,4.5,/beer/cigar-city-hunahpus-imperial-stout/97078/122460/
North Coast Old Rasputin Russian Imperial Stout,4.1,/beer/north-coast-old-rasputin-russian-imperial-stout/680/241596/
Avery Rumpkin,3.8,/beer/avery-rumpkin/131832/46225/
Bell\xc2\x92s Quinannan Falls Special Lager,3.4,/beer/bells-quinannan-falls-special-lager/111363/259758/
Great Lakes Brewery Karma Citra,4.6,/beer/great-lakes-brewery-karma-citra/140085/207197/
Stone 20th Anniversary Encore Series: 10th Anniversary IPA,3.3,/beer/stone-20th-anniversary-encore-series-10th-anniversary-ipa/63291/210148/
Evil Twin Imperial Biscotti Break,4.0,/beer/evil-twin-imperial-biscotti-break/168309/256435/
Beyond the Pale Aromatherapy - American IPA,4.1,/beer/beyond-the-pale-aromatherapy--american-ipa/384806/326289/
Trillium Summer Street IPA - Double Dry Hopped,4.3,/beer/trillium-summer-street-ipa--double-dry-hopped/339405/105791/
Bell\xc2\x92s Expedition Stout,4.0,/beer/bells-expedition-stout/3214/377571/
Great Divide Hercules Double IPA,3.5,/beer/great-divide-hercules-double-ipa/32751/27227/
Allagash Little Brett,4.1,/beer/allagash-little-brett/385843/104742/
Wiseacre Tiny Bomb American Pilsner,3.5,/beer/wiseacre-tiny-bomb-american-pilsner/227864/97827/
Alpine Beer Company Hoppy Birthday,3.7,/beer/alpine-beer-company-hoppy-birthday/123454/27227/
Arrogant Bastard Ale,3.7,/beer/arrogant-bastard-ale/1315/23484/
Stoneface Porter,3.7,/beer/stoneface-porter/308906/87091/
Lagunitas Tuberfest,3.8,/beer/lagunitas-tuberfest/444171/170314/
Tallgrass Zombie Monkie,3.6,/beer/tallgrass-zombie-monkie/229763/18632/
Anchor Porter,3.8,/beer/anchor-porter/48/368991/
Hill Farmstead Sumner,4.1,/beer/hill-farmstead-sumner/409339/188026/
Stone RuinTen Triple IPA,3.8,/beer/stone-ruinten-triple-ipa/171722/32325/
The Kernel India Pale Ale Galaxy,4.5,/beer/the-kernel-india-pale-ale-galaxy/154862/81829/
Alchemist Heady Topper,3.4,/beer/alchemist-heady-topper/32329/50767/
Fremont Field to Ferment - Citra,3.2,/beer/fremont-field-to-ferment--citra/452745/385424/
Andechser Doppelbock Dunkel,4.2,/beer/andechser-doppelbock-dunkel/1147/31439/
Alpine Beer Company Pure Hoppiness,3.8,/beer/alpine-beer-company-pure-hoppiness/18829/105677/
Fat Head\xc2\x92s Hop Stalker Fresh Hop IPA,2.6,/beer/fat-heads-hop-stalker-fresh-hop-ipa/293365/10619/
Bell\xc2\x92s Roundhouse IRA,3.7,/beer/bells-roundhouse-ira/99505/10619/
Boulevard Ginger Lemon Radler,2.7,/beer/boulevard-ginger-lemon-radler/254155/79688/
Otter Creek 25th Anniversary Double IPL,3.5,/beer/otter-creek-25th-anniversary-double-ipl/442822/29471/
Firestone Walker Wookey Jack Black Rye IPA,3.6,/beer/firestone-walker-wookey-jack-black-rye-ipa/167331/9591/
Flying Dog Heat Series: Ancho Lime Paradise Lager,2.9,/beer/flying-dog-heat-series-ancho-lime-paradise-lager/420612/79688/
Arrogant Who You Callin\xc2\x92 Wussie,3.0,/beer/arrogant-who-you-callin-wussie/429477/388170/
Bell\xc2\x92s Roundhouse IRA,3.3,/beer/bells-roundhouse-ira/99505/388170/
Trillium Itty Bitty Goose,3.5,/beer/trillium-itty-bitty-goose/275435/188026/
Momokawa G Joy Junmai Ginjo Genshu Sake,3.4,/beer/momokawa-g-joy-junmai-ginjo-genshu-sake/54355/162228/
Lagunitas Born Yesterday Pale Ale,3.5,/beer/lagunitas-born-yesterday-pale-ale/295821/9747/
Three Floyds Permanent Funeral,4.0,/beer/three-floyds-permanent-funeral/207415/236434/
Three Floyds Permanent Funeral,4.0,/beer/three-floyds-permanent-funeral/207415/134872/
Almanac Saison de Brettaville,3.7,/beer/almanac-saison-de-brettaville/364123/27361/
Urban Chestnut Oachkatzlschwoaf,4.0,/beer/urban-chestnut-oachkatzlschwoaf/154922/428049/
Founders PC Pils,3.2,/beer/founders-pc-pils/382690/50823/
Rock Art Humble Harvester,3.8,/beer/rock-art-humble-harvester/286618/58060/
Driftwood Entangled Hopfenweisse,4.3,/beer/driftwood-entangled-hopfenweisse/297853/152119/
Sierra Nevada Coffee Stout,4.3,/beer/sierra-nevada-coffee-stout/292419/360930/
Lagunitas Tuberfest,3.4,/beer/lagunitas-tuberfest/444171/3806/
Dogfish Head 90 Minute Imperial IPA,4.2,/beer/dogfish-head-90-minute-imperial-ipa/10569/417821/
Bell\xc2\x92s Kalamazoo Stout,4.4,/beer/bells-kalamazoo-stout/3209/431286/
Tallgrass Zombie Monkie,3.6,/beer/tallgrass-zombie-monkie/229763/363428/
Founders PC Pils,3.4,/beer/founders-pc-pils/382690/95728/
Founders Sumatra Mountain Brown,4.0,/beer/founders-sumatra-mountain-brown/135773/135175/
Founders PC Pils,4.0,/beer/founders-pc-pils/382690/135875/
Alaskan Smoked Porter,4.2,/beer/alaskan-smoked-porter/16/310036/
Siren / Cigar City Caribbean Chocolate Cake &#40;Barrel Aged&#41;,3.9,/beer/siren--cigar-city-caribbean-chocolate-cake-barrel-aged/419051/81782/
Oskar Blues Hotbox Coffee Porter,4.0,/beer/oskar-blues-hotbox-coffee-porter/132098/167245/
Russian River Defenestration,3.8,/beer/russian-river-defenestration/93471/40160/
Urban Chestnut Oachkatzlschwoaf,3.7,/beer/urban-chestnut-oachkatzlschwoaf/154922/61754/
